merged_id,match_type,city,name,address,ostrovok_rooms_number,tvil_rooms_number,ostrovok_free_rooms,tvil_free_rooms,min_free_rooms,avg_free_rooms,max_free_rooms,ostrovok_free_rooms_pct,tvil_free_rooms_pct,avg_free_rooms_pct,ostrovok_occupancy_pct,tvil_occupancy_pct,avg_occupancy_pct,ostrovok_capacity,tvil_capacity,avg_capacity,ostrovok_min_price,tvil_min_price,min_price
1,matched,Иркутск,Гостиничный Комплекс Русь,"улица Свердлова, д.19, Иркутск",,56,,4,4,4.00,4,,7,7.14,,92.86,92.86,,12,12,,5600,5600
2,matched,Иркутск,Отель Доходный дом Листратовой,"Подгорная улица, д.16, Иркутск",15,15,11,9,9,10.00,11,73,60,66.66,26.67,40.0,33.34,20,18,19,4440,4440,4440
3,matched,Иркутск,Отель Яковлевъ,"улица Тимирязева, д.9, Иркутск",25,25,10,6,6,8.00,10,40,24,32.00,60.0,76.0,68.00,23,14,18,2389,3000,2389
4,matched,Иркутск,Отель Nuur Hotel,"улица Карла Либкнехта, д. 85, Иркутск",28,28,16,8,8,12.00,16,57,28,42.86,42.86,71.43,57.15,31,21,26,5000,5500,5000
5,matched,Иркутск,Отель Иркут,"улица Пролетарская, д.7, Иркутск",30,30,25,10,10,17.50,25,83,33,58.33,16.67,66.67,41.67,45,17,31,2500,2500,2500
6,matched,Иркутск,Ангара Отель,"улица Сухэ-Батора, д.7, Иркутск",300,300,98,13,13,55.50,98,32,4,18.50,67.33,95.67,81.50,162,22,92,4250,4500,4250
7,matched,Иркутск,Гостиница 7 дорог,"улица Ядринцева, д. 88, Иркутск",19,19,10,0,0,5.00,10,52,0,26.32,47.37,100.0,73.69,22,0,11,4500,,4500
8,matched,Иркутск,Отель Матрешка,"Улица Софьи Перовской, д.31/1, Иркутск",35,35,49,10,10,29.50,49,100,28,64.28,0.0,71.43,35.72,87,20,54,3763,4284,3763
9,matched,Иркутск,Отель Амурский,"улица Ленина, д.34, Иркутск",17,17,11,10,10,10.50,11,64,58,61.77,35.290000000000006,41.18,38.23,22,22,22,14000,14000,14000
10,matched,Иркутск,Отель Азия-Европа,"улица Ядринцева, 1/7, Иркутск",19,19,6,8,6,7.00,8,31,42,36.84,68.42,57.89,63.16,12,16,14,4011,4000,4000
11,matched,Иркутск,Отель Аристократ,"улица Ленина, д.9, Иркутск",12,12,,,,,,,,,,,,,,,,,
12,matched,Иркутск,Отель Михаил Строгов,"улица Депутатская, д. 36, Иркутск",20,21,,,,,,,,,,,,,,,,,
13,matched,Листвянка,Отель Маяк,"улица Горького, дом 85а, Листвянка",54,75,72,9,9,40.50,72,100,12,56.00,0.0,88.0,44.00,138,17,78,5775,7245,5775
14,matched,Иркутск,Отель Baikal Forest,"улица Советская, д.58/1, Иркутск",156,76,139,8,8,73.50,139,89,10,49.81,10.900000000000006,89.47,50.19,281,22,152,4764,7100,4764
15,matched,Иркутск,Отель Купеческий Дворъ,"улица Седова, д.10, Иркутск",14,14,12,0,0,6.00,12,85,0,42.85,14.290000000000006,100.0,57.15,24,0,12,6700,,6700
16,matched,Хужир,Baikal View Hotel,"улица Российская, д. 17, Хужир",99,99,60,2,2,31.00,60,60,2,31.32,39.39,97.98,68.69,124,4,64,9200,9200,9200
17,matched,Хужир,Отель Байкал-Хан Ольхон,"улица Ворошилова, д. 18, Хужир",40,37,,,,,,,,,,,,,,,,,
18,matched,Иркутск,Отель Armat,"улица Ширямова, д.33, Иркутск",40,40,64,8,8,36.00,64,100,20,60.00,0.0,80.0,40.00,128,17,72,5200,6200,5200
19,matched,Иркутск,Гостиница Атлас,"проезд Атласова, д.9, Иркутск",29,28,8,7,7,7.50,8,27,25,26.30,72.41,75.0,73.70,17,18,18,3177,3300,3177
20,matched,Иркутск,Отель на Звездинской,"Улица Звездинская, д. 5/1, Иркутск",25,30,35,6,6,20.50,35,100,20,60.00,0.0,80.0,40.00,75,12,44,3385,5000,3385
21,matched,Иркутск,Гостиница Лазурный берег,"Байкальская улица, д. 252Б, Иркутск",65,66,7,5,5,6.00,7,10,7,9.18,89.23,92.42,90.83,14,10,12,3800,4500,3800
22,matched,Хужир,Отель Байкальский лес (BaikalWood Hotel&SPA),"улица Светлая, д.5, Хужир",44,29,0,10,0,5.00,10,0,34,17.24,100.0,65.52000000000001,82.76,0,24,12,,9000,9000
23,matched,Иркутск,Гостиница Юбилейная,"микрорайон Юбилейный, д. 118, Иркутск",23,23,0,9,0,4.50,9,0,39,19.57,100.0,60.87,80.44,0,15,8,2335,2500,2335
24,matched,Иркутск,Отель Байкал - Северное Море,"Улица Дальневосточная, д.156, Иркутск",119,120,80,14,14,47.00,80,67,11,39.45,32.769999999999996,88.33,60.55,129,34,82,4637,5060,4637
25,matched,Листвянка,Отель Даурия,"улица Куликова, д.44, Листвянка",4,15,1,4,1,2.50,4,25,26,25.84,75.0,73.33,74.16,1,10,6,11000,4500,4500
26,matched,Ангарск,Отель Ангара-Приоритет,"Квартал Б, д.13, Ангарск",31,31,23,10,10,16.50,23,74,32,53.22,25.810000000000002,67.74000000000001,46.78,47,24,36,4000,4000,4000
27,matched,Хужир,Семейный отель Дача БайкалЭко,"улица Лесная, д. 32, Хужир",10,10,,,,,,,,,,,,,,,,,
